country_name,Country Code,Series Name,Series Code,Urban Pop. Rate
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Kuwait,KWT,Urban population growth (annual %),SP.URB.GROW,3.837569365
Kyrgyz Republic,KGZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.777
Kyrgyz Republic,KGZ,Urban population growth (annual %),SP.URB.GROW,2.456733891
Lao PDR,LAO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.108
Lao PDR,LAO,Urban population growth (annual %),SP.URB.GROW,3.317448268
Latvia,LVA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.98
Latvia,LVA,Urban population growth (annual %),SP.URB.GROW,-0.777437304
Lebanon,LBN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.106
Lebanon,LBN,Urban population growth (annual %),SP.URB.GROW,2.146991391
Lesotho,LSO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.908
Lesotho,LSO,Urban population growth (annual %),SP.URB.GROW,2.625329281
Liberia,LBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.82
Liberia,LBR,Urban population growth (annual %),SP.URB.GROW,2.888083212
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.27
Libya,LBY,Urban population growth (annual %),SP.URB.GROW,1.867205672
Liechtenstein,LIE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.303
Liechtenstein,LIE,Urban population growth (annual %),SP.URB.GROW,0.619545772
Lithuania,LTU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.23
Lithuania,LTU,Urban population growth (annual %),SP.URB.GROW,-0.759129788
Luxembourg,LUX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.179
Luxembourg,LUX,Urban population growth (annual %),SP.URB.GROW,2.687531351
"Macao SAR, China",MAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
"Macao SAR, China",MAC,Urban population growth (annual %),SP.URB.GROW,1.816016042
Madagascar,MDG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.193
Madagascar,MDG,Urban population growth (annual %),SP.URB.GROW,4.478469017
Malawi,MWI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.313
Malawi,MWI,Urban population growth (annual %),SP.URB.GROW,3.874891639
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.213
Malaysia,MYS,Urban population growth (annual %),SP.URB.GROW,2.360097086
Maldives,MDV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.529
Maldives,MDV,Urban population growth (annual %),SP.URB.GROW,5.526362663
Mali,MLI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.991
Mali,MLI,Urban population growth (annual %),SP.URB.GROW,5.154725186
Malta,MLT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.414
Malta,MLT,Urban population growth (annual %),SP.URB.GROW,2.457410236
Marshall Islands,MHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.811
Marshall Islands,MHL,Urban population growth (annual %),SP.URB.GROW,-1.457635858
Mauritania,MRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.089
Mauritania,MRT,Urban population growth (annual %),SP.URB.GROW,4.395364352
Mauritius,MUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41
Mauritius,MUS,Urban population growth (annual %),SP.URB.GROW,-0.13799428
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.285
Mexico,MEX,Urban population growth (annual %),SP.URB.GROW,1.535980297
"Micronesia, Fed. Sts.",FSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.456
"Micronesia, Fed. Sts.",FSM,Urban population growth (annual %),SP.URB.GROW,0.657131811
Moldova,MDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.49
Moldova,MDA,Urban population growth (annual %),SP.URB.GROW,-0.781168726
Monaco,MCO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Monaco,MCO,Urban population growth (annual %),SP.URB.GROW,1.78404622
Mongolia,MNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.23
Mongolia,MNG,Urban population growth (annual %),SP.URB.GROW,2.209112005
Montenegro,MNE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.806
Montenegro,MNE,Urban population growth (annual %),SP.URB.GROW,0.566550161
Morocco,MAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.809
Morocco,MAR,Urban population growth (annual %),SP.URB.GROW,2.16662594
Mozambique,MOZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.4
Mozambique,MOZ,Urban population growth (annual %),SP.URB.GROW,4.57209821
Myanmar,MMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.858
Myanmar,MMR,Urban population growth (annual %),SP.URB.GROW,1.501582168
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.9
Namibia,NAM,Urban population growth (annual %),SP.URB.GROW,4.07115473
Nauru,NRU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Nauru,NRU,Urban population growth (annual %),SP.URB.GROW,2.214779795
Nepal,NPL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.557
Nepal,NPL,Urban population growth (annual %),SP.URB.GROW,2.579770948
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.173
Netherlands,NLD,Urban population growth (annual %),SP.URB.GROW,0.9802962
New Caledonia,NCL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.379
New Caledonia,NCL,Urban population growth (annual %),SP.URB.GROW,1.172404402
New Zealand,NZL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.341
New Zealand,NZL,Urban population growth (annual %),SP.URB.GROW,2.105557973
Nicaragua,NIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.895
Nicaragua,NIC,Urban population growth (annual %),SP.URB.GROW,1.775318072
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.247
Niger,NER,Urban population growth (annual %),SP.URB.GROW,4.001336632
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.838
Nigeria,NGA,Urban population growth (annual %),SP.URB.GROW,4.346763549
North Macedonia,MKD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.408
North Macedonia,MKD,Urban population growth (annual %),SP.URB.GROW,-0.051449207
Northern Mariana Islands,MNP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.357
Northern Mariana Islands,MNP,Urban population growth (annual %),SP.URB.GROW,-0.569959061
